,state,district,delta7.vaccinated1,delta7.vaccinated2,meta.population,total.vaccinated1,total.vaccinated2,delta.vaccinated2,delta.vaccinated1,delta21_14.confirmed,delta7.confirmed,delta7.recovered,total.confirmed,total.deceased,total.recovered,delta.confirmed,delta.recovered,meta.tested.date,total.tested
115,BR,Vaishali,45426.0,59038.0,3495021.0,1671469.0,478638.0,2621.0,1522.0,,1.0,,19827.0,192.0,19632.0,,,2021-01-31,275884.0
116,BR,West Champaran,42709.0,52019.0,3935042.0,1784016.0,469332.0,6316.0,7525.0,,,,20890.0,358.0,20532.0,,,2021-01-31,551778.0
117,CH,Chandigarh,3680.0,21641.0,1055450.0,926035.0,546981.0,1282.0,211.0,23.0,28.0,20.0,65351.0,820.0,64495.0,5.0,3.0,2021-10-31,792851.0
118,CT,Balod,5983.0,9451.0,826165.0,537459.0,271570.0,762.0,523.0,3.0,2.0,1.0,27278.0,396.0,26880.0,,,2020-06-14,2749.0
119,CT,Baloda Bazar,25353.0,17419.0,1305343.0,617777.0,211945.0,605.0,953.0,1.0,,3.0,43085.0,471.0,42611.0,,1.0,2020-06-14,3816.0
120,CT,Balrampur,21912.0,17709.0,598855.0,305554.0,112777.0,725.0,1654.0,,,,20302.0,118.0,20182.0,,,2020-09-20,21481.0
121,CT,Bametara,14367.0,7690.0,197035.0,405388.0,132925.0,25.0,25.0,1.0,1.0,,19963.0,236.0,19726.0,1.0,,2020-06-14,3113.0
122,CT,Bastar,10696.0,9616.0,1302253.0,443759.0,178775.0,129.0,82.0,,24.0,2.0,21066.0,188.0,20845.0,2.0,2.0,2020-05-23,4522.0
123,CT,Bijapur,1251.0,913.0,229832.0,103247.0,44245.0,56.0,47.0,6.0,5.0,3.0,8324.0,55.0,8263.0,3.0,1.0,2020-06-14,1239.0
124,CT,Bilaspur,18318.0,50320.0,1961922.0,1031494.0,525066.0,9113.0,2404.0,12.0,17.0,8.0,65681.0,1210.0,64448.0,1.0,3.0,2020-06-14,9823.0
125,CT,Dakshin Bastar Dantewada,2225.0,5410.0,533638.0,158243.0,80855.0,1299.0,143.0,4.0,6.0,2.0,10840.0,25.0,10809.0,1.0,,2020-06-14,1168.0
126,CT,Dhamtari,6188.0,7319.0,799199.0,509782.0,224591.0,18.0,1.0,2.0,2.0,2.0,27239.0,545.0,26690.0,,2.0,2020-06-14,1501.0
127,CT,Durg,17012.0,22719.0,3343079.0,1012391.0,525445.0,908.0,468.0,19.0,26.0,18.0,96880.0,1798.0,95028.0,4.0,6.0,2020-06-14,5020.0
128,CT,Gariaband,9982.0,5872.0,597653.0,293987.0,99137.0,153.0,440.0,,1.0,,19701.0,194.0,19506.0,,,2020-06-14,2096.0
129,CT,Gaurela Pendra Marwahi,4045.0,4587.0,,189474.0,79788.0,297.0,257.0,,1.0,,12011.0,146.0,11864.0,1.0,,2020-06-14,273.0
130,CT,Janjgir Champa,45568.0,30991.0,1620632.0,896087.0,317605.0,1341.0,1722.0,9.0,19.0,8.0,57636.0,838.0,56766.0,2.0,4.0,2020-06-14,4016.0
131,CT,Jashpur,10933.0,13098.0,852043.0,435884.0,182747.0,383.0,187.0,6.0,10.0,6.0,27093.0,212.0,26867.0,,3.0,2020-06-14,2542.0
132,CT,Kabeerdham,17511.0,17876.0,584667.0,402362.0,173494.0,1288.0,1128.0,,1.0,,22771.0,267.0,22503.0,,,2020-06-14,2829.0
133,CT,Kondagaon,8359.0,7999.0,578326.0,317695.0,100468.0,184.0,243.0,2.0,4.0,1.0,13139.0,99.0,13036.0,,,2020-06-14,1607.0
134,CT,Korba,24033.0,24911.0,1206563.0,650457.0,287588.0,1126.0,1086.0,13.0,23.0,11.0,54847.0,580.0,54228.0,5.0,2.0,2020-06-14,10034.0
135,CT,Koriya,15621.0,5751.0,659039.0,375503.0,128177.0,346.0,2370.0,1.0,6.0,,26980.0,177.0,26798.0,,,2020-06-14,2689.0
136,CT,Mahasamund,4416.0,72466.0,1032275.0,738333.0,428365.0,6309.0,159.0,2.0,,1.0,31365.0,365.0,31000.0,,,2020-06-14,2183.0
137,CT,Mungeli,15254.0,12880.0,701707.0,282508.0,109857.0,981.0,1330.0,2.0,1.0,2.0,23921.0,167.0,23753.0,,,2020-06-14,2922.0
138,CT,Narayanpur,3057.0,1858.0,140206.0,53032.0,19468.0,903.0,1075.0,1.0,,1.0,4019.0,14.0,4005.0,,,2020-06-14,804.0
139,CT,Other State,,,,,,,,3.0,4.0,3.0,805.0,131.0,666.0,1.0,,,
140,CT,Raigarh,5114.0,122838.0,1493627.0,1074306.0,967326.0,6265.0,752.0,10.0,8.0,8.0,62590.0,978.0,61597.0,2.0,4.0,2020-06-14,5084.0
141,CT,Raipur,10441.0,40794.0,4062160.0,1557999.0,915437.0,3193.0,789.0,15.0,33.0,15.0,158035.0,3139.0,154852.0,9.0,3.0,2020-06-14,12704.0
142,CT,Rajnandgaon,15753.0,25270.0,1537520.0,1028876.0,530711.0,650.0,596.0,2.0,5.0,3.0,56077.0,515.0,55557.0,,,2020-11-09,124947.0
143,CT,Sukma,3208.0,5401.0,249000.0,134654.0,81437.0,77.0,140.0,3.0,1.0,4.0,8066.0,20.0,8041.0,,1.0,2020-06-14,1723.0
144,CT,Surajpur,13506.0,13873.0,660280.0,419247.0,163526.0,322.0,442.0,1.0,,,29029.0,224.0,28805.0,,,2020-06-14,1830.0
145,CT,Surguja,29827.0,33226.0,420661.0,468885.0,277031.0,1834.0,1831.0,2.0,2.0,,33673.0,245.0,33426.0,,,2020-11-18,103578.0
146,CT,Uttar Bastar Kanker,17930.0,14621.0,748593.0,405744.0,171484.0,645.0,995.0,4.0,3.0,1.0,23636.0,224.0,23407.0,,,2020-06-14,2051.0
147,DL,Delhi,160323.0,269146.0,19814000.0,13055636.0,7425404.0,11839.0,12482.0,195.0,267.0,239.0,1439870.0,25091.0,1414431.0,45.0,46.0,2021-10-31,29427753.0
148,DN,Dadra and Nagar Haveli,870.0,6759.0,343709.0,387772.0,183553.0,18.0,3.0,2.0,,,5920.0,3.0,5910.0,,,2020-10-20,44813.0
149,DN,Daman,1880.0,6793.0,191173.0,234202.0,155547.0,,,2.0,,2.0,3543.0,1.0,3516.0,,1.0,2020-10-20,19338.0
150,DN,Diu,52.0,690.0,52074.0,38779.0,31153.0,,,,,,1218.0,,1218.0,,,2020-10-20,8259.0
151,GA,North Goa,4007.0,23958.0,817761.0,600586.0,424066.0,5967.0,1070.0,,,,,,,,,,
152,GA,South Goa,4401.0,22504.0,639962.0,661972.0,487016.0,6405.0,1492.0,,,,,,,,,,
153,GA,Unknown,,,,,,,,409.0,222.0,409.0,178108.0,3364.0,174392.0,23.0,53.0,,
154,GJ,Ahmedabad,47316.0,169891.0,7208200.0,5961594.0,3439921.0,11394.0,1765.0,29.0,22.0,14.0,238334.0,3411.0,234889.0,4.0,2.0,2021-02-02,2556492.0
155,GJ,Amreli,5473.0,39398.0,1513614.0,927389.0,551970.0,3792.0,399.0,,,,10810.0,102.0,10708.0,,,2021-02-02,212265.0
156,GJ,Anand,33012.0,46764.0,2090276.0,1471865.0,935893.0,2866.0,4876.0,,6.0,1.0,9637.0,49.0,9581.0,,,2021-02-02,171851.0
157,GJ,Aravalli,1439.0,32201.0,1051746.0,717964.0,522361.0,106.0,2.0,,,,5186.0,78.0,5108.0,,,2021-02-02,122182.0
158,GJ,Banaskantha,16080.0,82985.0,3116045.0,2140492.0,1157901.0,3521.0,390.0,,,,13631.0,162.0,13469.0,,,2021-02-02,218527.0
159,GJ,Bharuch,21270.0,45926.0,1550822.0,1217587.0,669742.0,2936.0,1539.0,,,,11426.0,118.0,11308.0,,,2021-02-02,156057.0
160,GJ,Bhavnagar,19467.0,81374.0,2877961.0,1680398.0,986097.0,1470.0,359.0,3.0,1.0,,21447.0,301.0,21143.0,1.0,,2021-02-02,392834.0
161,GJ,Botad,929.0,14235.0,656005.0,378232.0,228691.0,235.0,13.0,,,,2218.0,42.0,2176.0,,,2021-02-02,98559.0
162,GJ,Chhota Udaipur,699.0,19920.0,1071831.0,635695.0,420157.0,818.0,4.0,,,,3395.0,38.0,3357.0,,,2021-02-02,93838.0
163,GJ,Dahod,626.0,53547.0,2126558.0,1499052.0,631818.0,1930.0,8.0,,,,9955.0,38.0,9917.0,,,2021-02-02,218259.0
164,GJ,Dang,4140.0,3726.0,226769.0,156334.0,59262.0,1.0,2.0,-2.0,,,866.0,18.0,848.0,,,2021-02-02,31921.0
165,GJ,Devbhumi Dwarka,4666.0,24924.0,752484.0,504501.0,309771.0,373.0,315.0,,,,4175.0,82.0,4093.0,,,2021-02-02,80424.0
166,GJ,Gandhinagar,5475.0,36333.0,1387478.0,1175562.0,706208.0,367.0,69.0,-1.0,,,20754.0,205.0,20549.0,,,2021-02-02,292598.0
167,GJ,Gir Somnath,8524.0,15341.0,1217477.0,845224.0,363467.0,15.0,912.0,3.0,2.0,2.0,8570.0,67.0,8499.0,,,2021-02-02,121948.0
168,GJ,Jamnagar,9406.0,37158.0,2159130.0,1111813.0,653950.0,1366.0,367.0,1.0,5.0,3.0,34978.0,478.0,34494.0,,1.0,2021-02-02,307911.0
169,GJ,Junagadh,2660.0,71531.0,2742291.0,1316479.0,733025.0,1232.0,62.0,13.0,6.0,2.0,20505.0,272.0,20226.0,2.0,,2021-02-02,199699.0
170,GJ,Kheda,11668.0,73838.0,2298934.0,1454344.0,893742.0,2105.0,124.0,3.0,,1.0,10439.0,48.0,10391.0,,,2021-02-02,218140.0
171,GJ,Kutch,8920.0,49662.0,2090313.0,1412923.0,680232.0,351.0,15.0,4.0,5.0,1.0,12631.0,145.0,12474.0,,,2021-02-02,267060.0
172,GJ,Mahisagar,62.0,16517.0,994624.0,815594.0,459520.0,929.0,1.0,,,,8194.0,72.0,8122.0,,,2021-02-02,122796.0
173,GJ,Mehsana,7523.0,48550.0,2027727.0,1405786.0,869969.0,723.0,71.0,,,1.0,24419.0,177.0,24242.0,,,2021-02-02,229904.0
174,GJ,Morbi,9950.0,20297.0,960329.0,674000.0,308840.0,118.0,31.0,,,,6502.0,87.0,6415.0,,,2021-02-02,157321.0
175,GJ,Narmada,546.0,13890.0,590379.0,413260.0,279684.0,12.0,2.0,2.0,,2.0,5955.0,15.0,5940.0,,,2021-02-02,76134.0
176,GJ,Navsari,1852.0,29095.0,1330711.0,948673.0,647484.0,2009.0,62.0,11.0,5.0,13.0,7215.0,24.0,7181.0,,1.0,2021-02-02,129099.0
177,GJ,Other State,,,,,,,,,,,162.0,3.0,159.0,,,2020-06-27,108.0
178,GJ,Panchmahal,7294.0,44832.0,2388267.0,1105110.0,626003.0,1246.0,80.0,,,,11770.0,70.0,11700.0,,,2021-02-02,160981.0
179,GJ,Patan,3369.0,37745.0,1342746.0,850462.0,533438.0,259.0,20.0,,,,11624.0,129.0,11495.0,,,2021-02-02,169059.0
180,GJ,Porbandar,1140.0,13063.0,586062.0,419364.0,256377.0,1062.0,48.0,,,,3486.0,19.0,3467.0,,,2021-02-02,97912.0
181,GJ,Rajkot,17510.0,53546.0,3157676.0,2227111.0,1255012.0,153.0,43.0,2.0,7.0,7.0,57976.0,725.0,57243.0,,7.0,2021-02-02,731251.0
